URI	Notation	Label	Parent	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/specialisedZoneType/exclusion	exclusion	Ausschluss		In Ausschlusszonen ist die Errichtung von Windkraftanlagen unzulässig.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneType/suitability	suitability	Eignung		In Eignungszonen ist die Errichtung von Windkraftanlagen mit einer Nennleistung von mindestens 0,5 Megawatt zulässig.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneType/priority	priority	Vorrang		In Vorrangzonen ist die Errichtung von Windkraftanlagen mit einer Nennleistung von mindestens 0,5 Megawatt zulässig für nachstehende Projekte, die folgende Voraussetzungen erfüllen: 1. bei der Neuerrichtung von Windkraftanlagen muss eine elektrische Gesamtleistung von mindestens 15 MW erreicht werden; 2. bei der Erweiterung von bestehenden Windkraftanlagen muss eine zusätzliche elektrische Gesamtleistung von mindestens 7,5 MW erreicht werden; 3. bei sonstigen Erweiterungen von bestehenden Windkraftanlagen muss bereits vor der Erweiterung ein Verfahren nach UVP-G 2000, BGBl. I Nr. 80/2018, durchgeführt worden sein. Im Zuge einer allfälligen Umweltverträglichkeitsprüfung soll durch geeignete Maßnahmen sichergestellt werden, dass dauerbewirtschaftete Schutzhütten und Weitwanderwege in ihrer Funktion nicht beeinträchtigt werden.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
