URI	Notation	Label	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/publicBuilding	publicBuilding	Oeffentliche Gebaeude	Bauliche Anlagen, die der Öffentlichkeit dienen und daher für jedermann zugänglich sind.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/remainingRisk	remainingRisk	Restrisiko	Restlicher Überflutungsbereich eines Hochwassers mit seltener Eintrittswahrscheinlichkeit.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/redYellowZone	redYellowZone	Rot Gelbe Zone	Diese Bereiche sind als Retentions-, Abfluss- und wasserwirtschaftliche Vorrangzonen vorgesehen und sind für den schadlosen Abfluss und Hochwasserrückhalt im Hochwasserfall von großer Bedeutung.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/redZone	redZone	Rote Zone	Bereiche die von Hochwasser mit mittlerer Eintrittswahrscheinlichkeit besonders gefährdet sind. Es besteht Gefahr für Leib und Leben und diese Flächen sind für die Bebauung nicht geeignet.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/protectionInfrastructure	protectionInfrastructure	Schutzinfrastruktur	Bauliche Anlagen, die zum Schutz von Infastrukturobjekten und Personen durch Naturgefahren installiert worden sind.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/miscellaneousLoss	miscellaneousLoss	Sonstige Schaeden	Schäden, denen keine definierte Kategorie zuzuordnen sind.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/street	street	Strasse	Bauliche Objekte die als Transportweg genutzt und auf der Landoberfläche geografische Positionen verbinden.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure	transporAndNetworkInfrastructure	Verkehrs und Leitungsinfrastruktur	Bauliche Objekte die der Verkehrs- und Leitungsinfrastruktur dienen.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/waterPipelines	waterPipelines	Wasserleitungen	Bauliche Infrastrukturanlagen zum Transport von Wasser an Orte, an denen es auf natürlichem Wege nicht zur Verfügung steht.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/waterpathTransport	waterpathTransport	Wasserweg	Schiffbare Wasserflächen, Flüsse und Kanäle und deren dazugehörgigen baulichen Anlagen (z.B. Anlegesteg, Schleussen)		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/residentialBuilding	residentialBuilding	Wohngebaeude	Bauliche Anlagen, die vornehmlich dem wohnen dienen.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone	formerRedZone	ehemals Rote Zone	Hierbei handelt es sich um Restrisikogebiete im Wirkungsbereich von Hochwasserschutzanlagen. Wenn ein Hochwasserereignis das Bemessungsereignis übersteigt bzw. in Folge eines technischen Gebrechens die Hochwasserschutzanlage nicht funktioniert, kommt es im Wirkungsbereich der Hochwasserschutzanlage zu Überflutungen in einem Ausmaß ähnlich wie bei Nichtvorhandensein der Hochwasserschutzanlage. Neubauten sind in diesem Bereich hochwassergeschützt zu errichten.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestryArea	forestryArea	forstwirtschaftliche Flaechen	Flächen, die zur forstwirtschaftlichen Rohstofferzeugung als auch das Erbringen immaterieller Leistungen insbesondere als Schutz- und Erholungsraum.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestryObjects	forestryObjects	forstwirtschaftliche Objekte	Objekte die zur forstwirtschaftlichen Rohstofferzeugung dienen und Produkte.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalArea	agriculturalArea	landwirtschaftliche Flaechen	Flächen, die zur landwirtschaftlichen Rohstofferzeugung als auch Brachflächen dienen. Landwirtschaftliche Gebäude- und Hofflächen sind nicht enthalten.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalObjects	agriculturalObjects	landwirtschaftliche Objekte	Objekte die zur landwirtschaftliche Rohstofferzeugung dienen und Produkte (auch Tier und Fischbestände) .		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
