URI|Notation|Label|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A1|A1|Bauland - Dorfgebiet|Bauland - Dorfgebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A4|A4|Bauland - Gemischtes Baugebiet|Bauland - Gemischtes Baugebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A5|A5|Bauland - Geschaeftsgebiet|Bauland - Geschaeftsgebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A8|A8|Bauland - Gewerbegebiet|Bauland - Gewerbegebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A9|A9|Bauland - Industriegebiet|Bauland - Industriegebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A3|A3|Bauland - Kurgebiet|Bauland - Kurgebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A14xxx|A14xxx|Bauland - Mehrgeschossige Widmung|Bauland - Mehrgeschossige Widmung||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A7|A7|Bauland - Reines Kurgebiet|Bauland - Reines Kurgebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A6|A6|Bauland - Reines Wohngebiet|Bauland - Reines Wohngebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A13xxx|A13xxx|Bauland - Sondergebiet|Bauland - Sondergebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A1116xxx|A1116xxx|Bauland - Sondergebiet mit Sonderwidmung|Bauland - Sondergebiet mit Sonderwidmung||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A1115xxx|A1115xxx|Bauland - Sondergebiet mit Vorbehalt|Bauland - Sondergebiet mit Vorbehalt||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A1114xxx|A1114xxx|Bauland - Sondergebiet mit mehrgeschossiger Widmung|Bauland - Sondergebiet mit mehrgeschossiger Widmung||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A16xxx|A16xxx|Bauland - Sonderwidmung|Bauland - Sonderwidmung||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A200xxxx|A200xxxx|Bauland - Sonderwidmung mit Vorbehalt|Bauland - Sonderwidmung mit Vorbehalt||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A15xxx|A15xxx|Bauland - Vorbehaltsflaeche|Bauland - Vorbehaltsflaeche||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/A2|A2|Bauland - Wohngebiet|Bauland - Wohngebiet||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/D3102|D3102|Ersichtlichmachungen - Altlast|Ersichtlichmachungen - Altlast||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ktnLandUseValue/D1xx|D1xx|Ersichtlichmachungen - Autobahn(mit Schutzzone)|Ersichtlichmachungen - Autobahn(mit Schutzzone)||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
